x; y; z; nodeNo;
       1;    25.000;     0.000;     0.000;
       2;    25.000;    25.000;     0.000;
       3;     0.000;    25.000;     0.000;
       4;     0.000;     0.000;     0.000;
       5;    25.000;    50.000;     0.000;
       6;    50.000;    25.000;     0.000;
       7;    50.000;    50.000;     0.000;
       8;     0.000;    50.000;     0.000;
       9;    50.000;     0.000;     0.000;
      10;    25.000;     1.000;     0.000;
      11;    25.000;     2.000;     0.000;
      12;    25.000;     3.000;     0.000;
      13;    25.000;     4.000;     0.000;
      14;    25.000;     5.000;     0.000;
      15;    25.000;     6.000;     0.000;
      16;    25.000;     7.000;     0.000;
      17;    25.000;     8.000;     0.000;
      18;    25.000;     9.000;     0.000;
      19;    25.000;    10.000;     0.000;
      20;    25.000;    11.000;     0.000;
      21;    25.000;    12.000;     0.000;
      22;    25.000;    13.000;     0.000;
      23;    25.000;    14.000;     0.000;
      24;    25.000;    15.000;     0.000;
      25;    25.000;    16.000;     0.000;
      26;    25.000;    17.000;     0.000;
      27;    25.000;    18.000;     0.000;
      28;    25.000;    19.000;     0.000;
      29;    25.000;    20.000;     0.000;
      30;    25.000;    21.000;     0.000;
      31;    25.000;    22.000;     0.000;
      32;    25.000;    23.000;     0.000;
      33;    25.000;    24.000;     0.000;
      34;    24.000;    25.000;     0.000;
      35;    23.000;    25.000;     0.000;
      36;    22.000;    25.000;     0.000;
      37;    21.000;    25.000;     0.000;
      38;    20.000;    25.000;     0.000;
      39;    19.000;    25.000;     0.000;
      40;    18.000;    25.000;     0.000;
      41;    17.000;    25.000;     0.000;
      42;    16.000;    25.000;     0.000;
      43;    15.000;    25.000;     0.000;
      44;    14.000;    25.000;     0.000;
      45;    13.000;    25.000;     0.000;
      46;    12.000;    25.000;     0.000;
      47;    11.000;    25.000;     0.000;
      48;    10.000;    25.000;     0.000;
      49;     9.000;    25.000;     0.000;
      50;     8.000;    25.000;     0.000;
      51;     7.000;    25.000;     0.000;
      52;     6.000;    25.000;     0.000;
      53;     5.000;    25.000;     0.000;
      54;     4.000;    25.000;     0.000;
      55;     3.000;    25.000;     0.000;
      56;     2.000;    25.000;     0.000;
      57;     1.000;    25.000;     0.000;
      58;     0.000;    24.000;     0.000;
      59;     0.000;    23.000;     0.000;
      60;     0.000;    22.000;     0.000;
      61;     0.000;    21.000;     0.000;
      62;     0.000;    20.000;     0.000;
      63;     0.000;    19.000;     0.000;
      64;     0.000;    18.000;     0.000;
      65;     0.000;    17.000;     0.000;
      66;     0.000;    16.000;     0.000;
      67;     0.000;    15.000;     0.000;
      68;     0.000;    14.000;     0.000;
      69;     0.000;    13.000;     0.000;
      70;     0.000;    12.000;     0.000;
      71;     0.000;    11.000;     0.000;
      72;     0.000;    10.000;     0.000;
      73;     0.000;     9.000;     0.000;
      74;     0.000;     8.000;     0.000;
      75;     0.000;     7.000;     0.000;
      76;     0.000;     6.000;     0.000;
      77;     0.000;     5.000;     0.000;
      78;     0.000;     4.000;     0.000;
      79;     0.000;     3.000;     0.000;
      80;     0.000;     2.000;     0.000;
      81;     0.000;     1.000;     0.000;
      82;     1.000;     0.000;     0.000;
      83;     2.000;     0.000;     0.000;
      84;     3.000;     0.000;     0.000;
      85;     4.000;     0.000;     0.000;
      86;     5.000;     0.000;     0.000;
      87;     6.000;     0.000;     0.000;
      88;     7.000;     0.000;     0.000;
      89;     8.000;     0.000;     0.000;
      90;     9.000;     0.000;     0.000;
      91;    10.000;     0.000;     0.000;
      92;    11.000;     0.000;     0.000;
      93;    12.000;     0.000;     0.000;
      94;    13.000;     0.000;     0.000;
      95;    14.000;     0.000;     0.000;
      96;    15.000;     0.000;     0.000;
      97;    16.000;     0.000;     0.000;
      98;    17.000;     0.000;     0.000;
      99;    18.000;     0.000;     0.000;
     100;    19.000;     0.000;     0.000;
     101;    20.000;     0.000;     0.000;
     102;    21.000;     0.000;     0.000;
     103;    22.000;     0.000;     0.000;
     104;    23.000;     0.000;     0.000;
     105;    24.000;     0.000;     0.000;
     106;    25.000;    49.000;     0.000;
     107;    25.000;    48.000;     0.000;
     108;    25.000;    47.000;     0.000;
     109;    25.000;    46.000;     0.000;
     110;    25.000;    45.000;     0.000;
     111;    25.000;    44.000;     0.000;
     112;    25.000;    43.000;     0.000;
     113;    25.000;    42.000;     0.000;
     114;    25.000;    41.000;     0.000;
     115;    25.000;    40.000;     0.000;
     116;    25.000;    39.000;     0.000;
     117;    25.000;    38.000;     0.000;
     118;    25.000;    37.000;     0.000;
     119;    25.000;    36.000;     0.000;
     120;    25.000;    35.000;     0.000;
     121;    25.000;    34.000;     0.000;
     122;    25.000;    33.000;     0.000;
