x; y; z; voidRatio; porePressure;
   24.789;     0.211;     0.000; 0.2999262;    488485.57;
   24.789;     0.789;     0.000; 0.2999384;    482982.03;
   24.211;     0.211;     0.000; 0.2999265;    488485.27;
   24.211;     0.789;     0.000; 0.2999386;    482980.93;
   24.789;     1.211;     0.000; 0.2999458;    478928.00;
   24.789;     1.789;     0.000; 0.2999541;    473355.70;
   24.211;     1.211;     0.000; 0.2999460;    478926.45;
   24.211;     1.789;     0.000; 0.2999542;    473353.72;
   24.789;     2.211;     0.000; 0.2999592;    469259.72;
   24.789;     2.789;     0.000; 0.2999647;    463641.58;
   24.211;     2.211;     0.000; 0.2999593;    469257.50;
   24.211;     2.789;     0.000; 0.2999648;    463639.17;
   24.789;     3.211;     0.000; 0.2999681;    459518.07;
   24.789;     3.789;     0.000; 0.2999719;    453870.57;
   24.211;     3.211;     0.000; 0.2999682;    459515.56;
   24.211;     3.789;     0.000; 0.2999719;    453868.01;
   24.789;     4.211;     0.000; 0.2999742;    449729.86;
   24.789;     4.789;     0.000; 0.2999767;    444064.71;
   24.211;     4.211;     0.000; 0.2999742;    449727.29;
   24.211;     4.789;     0.000; 0.2999768;    444062.17;
   24.789;     5.211;     0.000; 0.2999783;    439914.14;
   24.789;     5.789;     0.000; 0.2999801;    434239.70;
   24.211;     5.211;     0.000; 0.2999783;    439911.63;
   24.211;     5.789;     0.000; 0.2999801;    434237.25;
   24.789;     6.211;     0.000; 0.2999812;    430084.60;
   24.789;     6.789;     0.000; 0.2999826;    424407.11;
   24.211;     6.211;     0.000; 0.2999812;    430082.20;
   24.211;     6.789;     0.000; 0.2999826;    424404.77;
   24.789;     7.211;     0.000; 0.2999835;    420251.70;
   24.789;     7.789;     0.000; 0.2999848;    414576.40;
   24.211;     7.211;     0.000; 0.2999835;    420249.39;
   24.211;     7.789;     0.000; 0.2999848;    414574.11;
   24.789;     8.211;     0.000; 0.2999858;    410424.63;
   24.789;     8.789;     0.000; 0.2999872;    404757.07;
   24.211;     8.211;     0.000; 0.2999858;    410422.32;
   24.211;     8.789;     0.000; 0.2999872;    404754.69;
   24.789;     9.211;     0.000; 0.2999884;    400613.66;
   24.789;     9.789;     0.000; 0.2999904;    394961.19;
   24.211;     9.211;     0.000; 0.2999884;    400611.15;
   24.211;     9.789;     0.000; 0.2999903;    394958.43;
   24.789;    10.211;     0.000; 0.2999923;    390832.97;
   24.789;    10.789;     0.000; 0.2999953;    385206.94;
   24.211;    10.211;     0.000; 0.2999922;    390829.91;
   24.211;    10.789;     0.000; 0.2999952;    385203.31;
   24.789;    11.211;     0.000; 0.2999984;    381104.95;
   24.789;    11.789;     0.000; 0.3000035;    375524.12;
   24.211;    11.211;     0.000; 0.2999982;    381100.67;
   24.211;    11.789;     0.000; 0.3000033;    375518.66;
   24.789;    12.211;     0.000; 0.3000086;    371466.75;
   24.789;    12.789;     0.000; 0.3000173;    365962.64;
   24.211;    12.211;     0.000; 0.3000083;    371460.02;
   24.211;    12.789;     0.000; 0.3000169;    365953.61;
   24.789;    13.211;     0.000; 0.3000260;    361980.85;
   24.789;    13.789;     0.000; 0.3000408;    356606.49;
   24.211;    13.211;     0.000; 0.3000254;    361969.37;
   24.211;    13.789;     0.000; 0.3000402;    356590.62;
   24.789;    14.211;     0.000; 0.3000556;    352752.10;
   24.789;    14.789;     0.000; 0.3000809;    347596.06;
   24.211;    14.211;     0.000; 0.3000546;    352731.60;
   24.211;    14.789;     0.000; 0.3000796;    347567.30;
   24.789;    15.211;     0.000; 0.3001059;    343955.23;
   24.789;    15.789;     0.000; 0.3001488;    339164.34;
   24.211;    15.211;     0.000; 0.3001041;    343917.74;
   24.211;    15.789;     0.000; 0.3001463;    339111.28;
   24.789;    16.211;     0.000; 0.3001909;    335879.29;
   24.789;    16.789;     0.000; 0.3002630;    331695.26;
   24.211;    16.211;     0.000; 0.3001875;    335809.76;
   24.211;    16.789;     0.000; 0.3002584;    331596.30;
   24.789;    17.211;     0.000; 0.3003336;    328999.55;
   24.789;    17.789;     0.000; 0.3004541;    325818.76;
   24.211;    17.211;     0.000; 0.3003272;    328869.23;
   24.211;    17.789;     0.000; 0.3004454;    325632.23;
   24.789;    18.211;     0.000; 0.3005717;    324095.78;
   24.789;    18.789;     0.000; 0.3007721;    322569.30;
   24.211;    18.211;     0.000; 0.3005596;    323848.62;
   24.211;    18.789;     0.000; 0.3007554;    322212.72;
   24.789;    19.211;     0.000; 0.3009677;    322453.12;
   24.789;    19.789;     0.000; 0.3013004;    323662.17;
   24.211;    19.211;     0.000; 0.3009440;    321976.24;
   24.211;    19.789;     0.000; 0.3012674;    322966.07;
   24.789;    20.211;     0.000; 0.3016256;    326225.73;
   24.789;    20.789;     0.000; 0.3021793;    332020.45;
   24.211;    20.211;     0.000; 0.3015783;    325278.04;
   24.211;    20.789;     0.000; 0.3021162;    330604.64;
   24.789;    21.211;     0.000; 0.3027308;    339154.85;
   24.789;    21.789;     0.000; 0.3036736;    352851.66;
   24.211;    21.211;     0.000; 0.3026305;    337194.89;
   24.211;    21.789;     0.000; 0.3035197;    349873.21;
   24.789;    22.211;     0.000; 0.3046196;    368386.76;
   24.789;    22.789;     0.000; 0.3062526;    397132.64;
   24.211;    22.211;     0.000; 0.3043897;    363793.62;
   24.211;    22.789;     0.000; 0.3059995;    389146.59;
   24.789;    23.211;     0.000; 0.3080756;    428458.16;
   24.789;    23.789;     0.000; 0.3111851;    485295.19;
   24.211;    23.211;     0.000; 0.3074598;    418099.28;
   24.211;    23.789;     0.000; 0.3102845;    471846.52;
   24.789;    24.211;     0.000; 0.3162931;    588214.73;
   24.789;    24.789;     0.000; 0.3278679;    812559.10;
   24.211;    24.211;     0.000; 0.3130409;    515906.64;
   24.211;    24.789;     0.000; 0.3162948;    582533.87;
   23.789;     0.211;     0.000; 0.2999269;    488484.84;
   23.789;     0.789;     0.000; 0.2999389;    482979.34;
   23.211;     0.211;     0.000; 0.2999279;    488483.97;
   23.211;     0.789;     0.000; 0.2999397;    482976.07;
   23.789;     1.211;     0.000; 0.2999463;    478924.19;
   23.789;     1.789;     0.000; 0.2999545;    473350.83;
   23.211;     1.211;     0.000; 0.2999469;    478919.57;
   23.211;     1.789;     0.000; 0.2999549;    473344.91;
   23.789;     2.211;     0.000; 0.2999595;    469254.27;
   23.789;     2.789;     0.000; 0.2999650;    463635.65;
   23.211;     2.211;     0.000; 0.2999598;    469247.67;
   23.211;     2.789;     0.000; 0.2999653;    463628.46;
   23.789;     3.211;     0.000; 0.2999683;    459511.91;
   23.789;     3.789;     0.000; 0.2999720;    453864.28;
   23.211;     3.211;     0.000; 0.2999686;    459504.45;
   23.211;     3.789;     0.000; 0.2999722;    453856.66;
   23.789;     4.211;     0.000; 0.2999743;    449723.54;
   23.789;     4.789;     0.000; 0.2999768;    444058.47;
   23.211;     4.211;     0.000; 0.2999744;    449715.89;
   23.211;     4.789;     0.000; 0.2999769;    444050.90;
   23.789;     5.211;     0.000; 0.2999784;    439907.98;
   23.789;     5.789;     0.000; 0.2999801;    434233.70;
   23.211;     5.211;     0.000; 0.2999784;    439900.51;
   23.211;     5.789;     0.000; 0.2999802;    434226.42;
   23.789;     6.211;     0.000; 0.2999813;    430078.71;
   23.789;     6.789;     0.000; 0.2999826;    424401.37;
   23.211;     6.211;     0.000; 0.2999813;    430071.57;
   23.211;     6.789;     0.000; 0.2999826;    424394.41;
   23.789;     7.211;     0.000; 0.2999836;    420246.03;
   23.789;     7.789;     0.000; 0.2999848;    414570.79;
   23.211;     7.211;     0.000; 0.2999835;    420239.16;
   23.211;     7.789;     0.000; 0.2999848;    414563.99;
